"seqID","accessionNumber","blastHit","blastSpecies","gene","geneFamily","eValue","TPM","FPKM","assembler","output"
"TRINITY_DN29428_c0_g1::TRINITY_DN29428_c0_g1_i1::g.11678::m.11678","ETE64172.1_1","Opha hypothetical protein ","Ophiophagus hannah","hypothetical protein ","TBD",2.55e-120,1.62,6.03,"Trinity","Merger"
"TRINITY_DN2942_c0_g1::TRINITY_DN2942_c0_g1_i1::g.1849::m.1849",NA,NA,NA,NA,NA,NA,4.96,18.5,"Trinity","Merger"
"TRINITY_DN29431_c0_g1::TRINITY_DN29431_c0_g1_i1::g.11670::m.11670","ETE62398.1_1","Opha Myotubularin-related protein 5  ","Ophiophagus hannah","Myotubularin-related protein 5  ","TBD",0,1.12,4.19,"Trinity","Merger"
"TRINITY_DN29435_c0_g1::TRINITY_DN29435_c0_g1_i1::g.11680::m.11680","ETE65666.1_1","Opha Centrosomal protein of 57 kDa  ","Ophiophagus hannah","Centrosomal protein of 57 kDa  ","TBD",0,1.52,5.65,"Trinity","Merger"
"TRINITY_DN29438_c0_g1::TRINITY_DN29438_c0_g1_i1::g.11683::m.11683","ETE73659.1_1","Opha Zinc finger MYM-type protein 2  ","Ophiophagus hannah","Zinc finger MYM-type protein 2  ","TBD",0,1.56,5.8,"Trinity","Merger"
"TRINITY_DN29447_c0_g1::TRINITY_DN29447_c0_g1_i1::g.11685::m.11685","ETE58243.1_1","Opha Nucleolar complex protein 3-like protein  ","Ophiophagus hannah","Nucleolar complex protein 3-like protein  ","TBD",6.57e-138,1.9,7.09,"Trinity","Merger"
"TRINITY_DN29448_c0_g1::TRINITY_DN29448_c0_g1_i1::g.11673::m.11673","ETE66206.1_1","Opha Nuclear valosin-containing protein-like protein  ","Ophiophagus hannah","Nuclear valosin-containing protein-like protein  ","TBD",0,1.79,6.68,"Trinity","Merger"
"TRINITY_DN29449_c0_g1::TRINITY_DN29449_c0_g1_i1::g.11667::m.11667","gi|387016911|gb|JU175050.1|","TSA: Crotalus adamanteus Cadam_MesodermInduction1, mRNA sequence","Crotalus adamanteus","MesodermInduction1, mRNA sequence","TBD",0,1.89,7.03,"Trinity","Merger"
"TRINITY_DN2945_c0_g1::TRINITY_DN2945_c0_g1_i1::g.1752::m.1752","gi|752780437|gb|GBSH01001250.1|","TSA: Boiga irregularis Birre_HCLS1-X-1 transcribed RNA sequence","Boiga irregularis","HCLS1-X-1 transcribed RNA sequence","TBD",0,13.44,50.11,"Trinity","Merger"
"TRINITY_DN29460_c0_g1::TRINITY_DN29460_c0_g1_i1::g.11668::m.11668","gi|752778146|gb|GBSH01002372.1|","TSA: Boiga irregularis Birre_RpS16 transcribed RNA sequence","Boiga irregularis","RpS16 transcribed RNA sequence","TBD",0,1113.51,4150.81,"Trinity","Merger"
"TRINITY_DN29462_c0_g1::TRINITY_DN29462_c0_g1_i1::g.11682::m.11682","ETE65718.1_1","Opha Amidophosphoribosyltransferase  ","Ophiophagus hannah","Amidophosphoribosyltransferase  ","TBD",0,1.64,6.11,"Trinity","Merger"
"TRINITY_DN2946_c0_g1::TRINITY_DN2946_c0_g1_i3::g.1662::m.1662","gi|752779624|gb|GBSH01001649.1|","TSA: Boiga irregularis Birre_mORN1 transcribed RNA sequence","Boiga irregularis","mORN1 transcribed RNA sequence","TBD",0,9.59,35.76,"Trinity","Merger"
"TRINITY_DN2947_c0_g1::TRINITY_DN2947_c0_g1_i1::g.1836::m.1836","gi|537458757|gb|GAEP01001273.1|","TSA: Micrurus fulvius Mfulv_Ras2 mRNA sequence","Micrurus fulvius","Ras2 mRNA sequence","TBD",0,1.91,7.11,"Trinity","Merger"
"TRINITY_DN29480_c0_g1::TRINITY_DN29480_c0_g1_i1::g.11681::m.11681","ETE60778.1_1","Opha Nesprin-2 ","Ophiophagus hannah","Nesprin-2 ","TBD",0,1.31,4.88,"Trinity","Merger"
"TRINITY_DN29485_c0_g1::TRINITY_DN29485_c0_g1_i1::g.11666::m.11666","gi|699234348|gb|GBSI01001207.1|","Htorq_KIAA0310 transcribed RNA sequence","Hypsiglena sp","KIAA0310 transcribed RNA sequence","TBD",5.05e-147,3.55,13.22,"Trinity","Merger"
"TRINITY_DN29495_c0_g1::TRINITY_DN29495_c0_g1_i1::g.11676::m.11676","ETE61453.1_1","Opha Sperm acrosome membrane-associated protein 4 ","Ophiophagus hannah","Sperm acrosome membrane-associated protein 4 ","TBD",1.34e-137,2.49,9.3,"Trinity","Merger"
"TRINITY_DN29499_c0_g1::TRINITY_DN29499_c0_g1_i1::g.11674::m.11674","ETE65942.1_1","Opha Nesprin-1  ","Ophiophagus hannah","Nesprin-1  ","TBD",0,1.28,4.78,"Trinity","Merger"
"TRINITY_DN2949_c0_g1::TRINITY_DN2949_c0_g1_i2::g.1805::m.1805","gi|699235698|gb|GBSI01000532.1|","Htorq_CG2446 transcribed RNA sequence","Hypsiglena sp","CG2446 transcribed RNA sequence","TBD",0,2.35,8.76,"Trinity","Merger"
"TRINITY_DN294_c0_g1::TRINITY_DN294_c0_g1_i2::g.7649::m.7649","ETE65738.1_1","Opha LisH domain and HEAT repeat-containing protein  ","Ophiophagus hannah","LisH domain and HEAT repeat-containing protein  ","TBD",0,12.22,45.55,"Trinity","Merger"
"TRINITY_DN294_c0_g2::TRINITY_DN294_c0_g2_i3::g.7650::m.7650","gi|752779828|gb|GBSH01001547.1|","TSA: Boiga irregularis Birre_MAPKin3 transcribed RNA sequence","Boiga irregularis","MAPKin3 transcribed RNA sequence","TBD",0,5.73,21.35,"Trinity","Merger"
"TRINITY_DN294_c0_g2::TRINITY_DN294_c0_g2_i5::g.7651::m.7651","gi|752779828|gb|GBSH01001547.1|","TSA: Boiga irregularis Birre_MAPKin3 transcribed RNA sequence","Boiga irregularis","MAPKin3 transcribed RNA sequence","TBD",0,12.29,45.81,"Trinity","Merger"
"TRINITY_DN29504_c0_g1::TRINITY_DN29504_c0_g1_i1::g.30021::m.30021",NA,NA,NA,NA,NA,NA,2.26,8.43,"Trinity","Merger"
"TRINITY_DN2950_c0_g1::TRINITY_DN2950_c0_g1_i4::g.1782::m.1782","gi|752780163|gb|GBSH01001380.1|","TSA: Boiga irregularis Birre_IntMemGPR137B transcribed RNA sequence","Boiga irregularis","IntMemGPR137B transcribed RNA sequence","TBD",0,3.33,12.41,"Trinity","Merger"
"TRINITY_DN29514_c0_g1::TRINITY_DN29514_c0_g1_i1::g.30011::m.30011",NA,NA,NA,NA,NA,NA,2.67,9.94,"Trinity","Merger"
"TRINITY_DN29516_c0_g1::TRINITY_DN29516_c0_g1_i1::g.30027::m.30027","ETE66218.1_1","Opha Transient receptor potential cation channel subfamily M member 2  ","Ophiophagus hannah","Transient receptor potential cation channel subfamily M member 2  ","TBD",2.54e-60,0.48,1.8,"Trinity","Merger"
"TRINITY_DN29519_c0_g1::TRINITY_DN29519_c0_g1_i1::g.30026::m.30026",NA,NA,NA,NA,NA,NA,1.12,4.16,"Trinity","Merger"
"TRINITY_DN2951_c0_g1::TRINITY_DN2951_c0_g1_i2::g.1785::m.1785","ETE67824.1_1","Opha F-box/LRR-repeat protein 3  ","Ophiophagus hannah","F-box/LRR-repeat protein 3  ","TBD",3.46e-144,2.82,10.51,"Trinity","Merger"
"TRINITY_DN29526_c0_g1::TRINITY_DN29526_c0_g1_i1::g.30016::m.30016","gi|752778952|gb|GBSH01001983.1|","TSA: Boiga irregularis Birre_PINAGT-Y transcribed RNA sequence","Boiga irregularis","PINAGT-Y transcribed RNA sequence","TBD",2.04e-155,1.75,6.51,"Trinity","Merger"
"TRINITY_DN2952_c0_g1::TRINITY_DN2952_c0_g1_i2::g.1819::m.1819",NA,NA,NA,NA,NA,NA,4.76,17.76,"Trinity","Merger"
"TRINITY_DN2953_c0_g1::TRINITY_DN2953_c0_g1_i2::g.1743::m.1743","ETE65504.1_1","Opha Asparagine synthetase domain-containing protein 1  ","Ophiophagus hannah","Asparagine synthetase domain-containing protein 1  ","TBD",0,2.48,9.24,"Trinity","Merger"
"TRINITY_DN29541_c0_g1::TRINITY_DN29541_c0_g1_i1::g.30020::m.30020","ETE65933.1_1","Opha Methyl-CpG-binding domain protein 5  ","Ophiophagus hannah","Methyl-CpG-binding domain protein 5  ","TBD",0,3.1,11.57,"Trinity","Merger"
"TRINITY_DN29547_c0_g1::TRINITY_DN29547_c0_g1_i1::g.30012::m.30012",NA,NA,NA,NA,NA,NA,1.02,3.81,"Trinity","Merger"
"TRINITY_DN29549_c0_g1::TRINITY_DN29549_c0_g1_i1::g.30024::m.30024","ETE73361.1_1","Opha Heat-stable enterotoxin receptor ","Ophiophagus hannah","Heat-stable enterotoxin receptor ","TBD",0,1.39,5.2,"Trinity","Merger"
"TRINITY_DN29555_c0_g1::TRINITY_DN29555_c0_g1_i1::g.30014::m.30014","ETE72099.1_1","Opha Prolyl 3-hydroxylase 3  ","Ophiophagus hannah","Prolyl 3-hydroxylase 3  ","TBD",0,1.65,6.16,"Trinity","Merger"
"TRINITY_DN29557_c0_g1::TRINITY_DN29557_c0_g1_i1::g.30019::m.30019","ETE67370.1_1","Opha DNA mismatch repair protein Mlh3  ","Ophiophagus hannah","DNA mismatch repair protein Mlh3  ","TBD",0,1.96,7.29,"Trinity","Merger"
"TRINITY_DN29558_c0_g1::TRINITY_DN29558_c0_g1_i1::g.30025::m.30025","gi|752779008|gb|GBSH01001955.1|","TSA: Boiga irregularis Birre_PEthBind1 transcribed RNA sequence","Boiga irregularis","PEthBind1 transcribed RNA sequence","TBD",0,31.43,117.15,"Trinity","Merger"
"TRINITY_DN2955_c0_g1::TRINITY_DN2955_c0_g1_i4::g.1687::m.1687","gi|752777806|gb|GBSH01002512.1|","TSA: Boiga irregularis Birre_SerThrPP6-1 transcribed RNA sequence","Boiga irregularis","SerThrPP6-1 transcribed RNA sequence","TBD",0,5.56,20.72,"Trinity","Merger"
"TRINITY_DN2955_c0_g2::TRINITY_DN2955_c0_g2_i2::g.1685::m.1685","gi|752777806|gb|GBSH01002512.1|","TSA: Boiga irregularis Birre_SerThrPP6-1 transcribed RNA sequence","Boiga irregularis","SerThrPP6-1 transcribed RNA sequence","TBD",0,1.09,4.05,"Trinity","Merger"
"TRINITY_DN2956_c0_g1::TRINITY_DN2956_c0_g1_i2::g.1726::m.1726","gi|752782347|gb|GBSH01000353.1|","TSA: Boiga irregularis Birre_ATP-CitrateSyn transcribed RNA sequence","Boiga irregularis","ATP-CitrateSyn transcribed RNA sequence","TBD",0,14.26,53.17,"Trinity","Merger"
"TRINITY_DN29570_c0_g1::TRINITY_DN29570_c0_g1_i1::g.30023::m.30023","ETE73560.1_1","Opha CD97 antigen  ","Ophiophagus hannah","CD97 antigen  ","TBD",1.25e-172,1.58,5.89,"Trinity","Merger"
"TRINITY_DN29571_c0_g1::TRINITY_DN29571_c0_g1_i1::g.30013::m.30013","gi|521753037|gb|GAAZ01002852.1|","TSA: Crotalus horridus Chorr_UbLigWW1 mRNA sequence","Crotalus horridus","UbLigWW1 mRNA sequence","TBD",3.56e-128,0.57,2.12,"Trinity","Merger"
"TRINITY_DN29575_c0_g1::TRINITY_DN29575_c0_g1_i1::g.30017::m.30017","ETE57096.1_1","Opha RBPJ-interacting and tubulin-associated protein  ","Ophiophagus hannah","RBPJ-interacting and tubulin-associated protein  ","TBD",1.62e-157,0.66,2.47,"Trinity","Merger"
"TRINITY_DN2957_c0_g1::TRINITY_DN2957_c0_g1_i2::g.1801::m.1801",NA,NA,NA,NA,NA,NA,3.21,11.97,"Trinity","Merger"
"TRINITY_DN29583_c0_g1::TRINITY_DN29583_c0_g1_i1::g.30015::m.30015",NA,NA,NA,NA,NA,NA,0.5,1.86,"Trinity","Merger"
"TRINITY_DN29585_c0_g1::TRINITY_DN29585_c0_g1_i1::g.30018::m.30018","gi|752778218|gb|GBSH01002336.1|","TSA: Boiga irregularis Birre_RpL27 transcribed RNA sequence","Boiga irregularis","RpL27 transcribed RNA sequence","TBD",0,1839.79,6858.15,"Trinity","Merger"
"TRINITY_DN29587_c0_g1::TRINITY_DN29587_c0_g1_i1::g.30022::m.30022","ETE68574.1_1","Opha Coagulation factor V ","Ophiophagus hannah","Coagulation factor V ","TBD",2.38e-170,1.62,6.03,"Trinity","Merger"
"TRINITY_DN2958_c0_g1::TRINITY_DN2958_c0_g1_i2::g.1765::m.1765","ETE64354.1_1","Opha Plexin-B2  ","Ophiophagus hannah","Plexin-B2  ","TBD",0,5.99,22.33,"Trinity","Merger"
"TRINITY_DN29607_c0_g1::TRINITY_DN29607_c0_g1_i1::g.18155::m.18155","ETE63010.1_1","Opha Threonyl-tRNA synthetase, cytoplasmic ","Ophiophagus hannah","Threonyl-tRNA synthetase, cytoplasmic ","TBD",1.81e-52,1.06,3.95,"Trinity","Merger"
"TRINITY_DN29612_c0_g1::TRINITY_DN29612_c0_g1_i1::g.18159::m.18159","ETE68991.1_1","Opha hypothetical protein  ","Ophiophagus hannah","hypothetical protein  ","TBD",3.13e-105,35.96,134.06,"Trinity","Merger"
"TRINITY_DN2961_c0_g1::TRINITY_DN2961_c0_g1_i1::g.1815::m.1815","ETE73832.1_1","Opha Calmodulin-regulated spectrin-associated protein 3 ","Ophiophagus hannah","Calmodulin-regulated spectrin-associated protein 3 ","TBD",0,5.59,20.85,"Trinity","Merger"
"TRINITY_DN29628_c0_g1::TRINITY_DN29628_c0_g1_i1::g.18152::m.18152","ETE72006.1_1","Opha Acylphosphatase-2 ","Ophiophagus hannah","Acylphosphatase-2 ","TBD",1.48e-92,2.33,8.68,"Trinity","Merger"
"TRINITY_DN29632_c0_g1::TRINITY_DN29632_c0_g1_i1::g.18148::m.18148","ETE70664.1_1","Opha RNA polymerase II subunit A C-terminal domain phosphatase ","Ophiophagus hannah","RNA polymerase II subunit A C-terminal domain phosphatase ","TBD",0,2.94,10.96,"Trinity","Merger"
"TRINITY_DN29641_c0_g1::TRINITY_DN29641_c0_g1_i1::g.18158::m.18158",NA,NA,NA,NA,NA,NA,0.58,2.17,"Trinity","Merger"
"TRINITY_DN2964_c0_g2::TRINITY_DN2964_c0_g2_i1::g.1786::m.1786",NA,NA,NA,NA,NA,NA,1.03,3.86,"Trinity","Merger"
"TRINITY_DN2965_c0_g1::TRINITY_DN2965_c0_g1_i10::g.1774::m.1774",NA,NA,NA,NA,NA,NA,8.91,33.2,"Trinity","Merger"
"TRINITY_DN2965_c0_g1::TRINITY_DN2965_c0_g1_i19::g.1771::m.1771","gi|521758766|gb|GAAZ01000731.1|","TSA: Crotalus horridus Chorr_DNARepairREV1 mRNA sequence","Crotalus horridus","DNARepairREV1 mRNA sequence","TBD",3.39e-89,13.33,49.71,"Trinity","Merger"
"TRINITY_DN2965_c0_g1::TRINITY_DN2965_c0_g1_i21::g.1772::m.1772",NA,NA,NA,NA,NA,NA,3.19,11.89,"Trinity","Merger"
"TRINITY_DN29660_c0_g1::TRINITY_DN29660_c0_g1_i1::g.18156::m.18156","ETE67669.1_1","Opha Gamma-taxilin  ","Ophiophagus hannah","Gamma-taxilin  ","TBD",6.15e-171,5.12,19.09,"Trinity","Merger"
"TRINITY_DN29662_c0_g1::TRINITY_DN29662_c0_g1_i1::g.18151::m.18151","ETE72150.1_1","Opha Centromere protein J  ","Ophiophagus hannah","Centromere protein J  ","TBD",3.47e-164,0.66,2.44,"Trinity","Merger"
"TRINITY_DN29668_c0_g1::TRINITY_DN29668_c0_g1_i1::g.18149::m.18149",NA,NA,NA,NA,NA,NA,2.18,8.11,"Trinity","Merger"
"TRINITY_DN29670_c0_g1::TRINITY_DN29670_c0_g1_i1::g.18143::m.18143","gi|752781853|gb|GBSH01000569.1|","TSA: Boiga irregularis Birre_CASP8FADD transcribed RNA sequence","Boiga irregularis","CASP8FADD transcribed RNA sequence","TBD",0,2.19,8.17,"Trinity","Merger"
"TRINITY_DN29673_c0_g1::TRINITY_DN29673_c0_g1_i1::g.18141::m.18141","ETE61365.1_1","Opha Glucocorticoid modulatory element-binding protein 2  ","Ophiophagus hannah","Glucocorticoid modulatory element-binding protein 2  ","TBD",1.22e-147,0.59,2.21,"Trinity","Merger"
"TRINITY_DN29680_c0_g1::TRINITY_DN29680_c0_g1_i1::g.18144::m.18144","ETE61544.1_1","Opha Forkhead box protein N3 ","Ophiophagus hannah","Forkhead box protein N3 ","TBD",0,1.68,6.25,"Trinity","Merger"
"TRINITY_DN29686_c0_g1::TRINITY_DN29686_c0_g1_i1::g.18145::m.18145",NA,NA,NA,NA,NA,NA,0,0,"Trinity","Merger"
"TRINITY_DN29686_c0_g1::TRINITY_DN29686_c0_g1_i2::g.18146::m.18146",NA,NA,NA,NA,NA,NA,17.73,66.08,"Trinity","Merger"
"TRINITY_DN2968_c0_g1::TRINITY_DN2968_c0_g1_i1::g.1666::m.1666","ETE73941.1_1","Opha Disks large-associated protein 5 ","Ophiophagus hannah","Disks large-associated protein 5 ","TBD",0,2.83,10.55,"Trinity","Merger"
"TRINITY_DN29690_c0_g1::TRINITY_DN29690_c0_g1_i1::g.18147::m.18147","ETE63413.1_1","Opha Lymphocyte cytosolic protein 2  ","Ophiophagus hannah","Lymphocyte cytosolic protein 2  ","TBD",1.04e-117,1.01,3.76,"Trinity","Merger"
"TRINITY_DN29693_c0_g1::TRINITY_DN29693_c0_g1_i1::g.18150::m.18150","ETE60715.1_1","Opha hypothetical protein  ","Ophiophagus hannah","hypothetical protein  ","TBD",1.44e-37,2.82,10.5,"Trinity","Merger"
"TRINITY_DN2969_c0_g1::TRINITY_DN2969_c0_g1_i1::g.1675::m.1675","ETE72398.1_1","Opha hypothetical protein ","Ophiophagus hannah","hypothetical protein ","TBD",0,4.45,16.6,"Trinity","Merger"
"TRINITY_DN29700_c0_g1::TRINITY_DN29700_c0_g1_i1::g.18153::m.18153","gi|752777163|gb|GBSH01002800.1|","TSA: Boiga irregularis Birre_TIF-IIA-2 transcribed RNA sequence","Boiga irregularis","TIF-IIA-2 transcribed RNA sequence","TBD",2.41e-164,51.54,192.11,"Trinity","Merger"
"TRINITY_DN29701_c0_g1::TRINITY_DN29701_c0_g1_i1::g.18196::m.18196","ETE65444.1_1","Opha putative protein C1orf96  ","Ophiophagus hannah","putative protein C1orf96  ","TBD",2.85e-76,0.72,2.68,"Trinity","Merger"
"TRINITY_DN29703_c0_g1::TRINITY_DN29703_c0_g1_i1::g.18200::m.18200",NA,NA,NA,NA,NA,NA,8.25,30.75,"Trinity","Merger"
"TRINITY_DN29705_c0_g1::TRINITY_DN29705_c0_g1_i1::g.18183::m.18183","gi|752778160|gb|GBSH01002365.1|","TSA: Boiga irregularis Birre_RpS10 transcribed RNA sequence","Boiga irregularis","RpS10 transcribed RNA sequence","TBD",0,854.14,3183.97,"Trinity","Merger"
"TRINITY_DN2970_c0_g1::TRINITY_DN2970_c0_g1_i1::g.1802::m.1802","gi|699235150|gb|GBSI01000806.1|","Htorq_EfDomD1 transcribed RNA sequence","Hypsiglena sp","EfDomD1 transcribed RNA sequence","TBD",0,3.15,11.75,"Trinity","Merger"
"TRINITY_DN29710_c0_g1::TRINITY_DN29710_c0_g1_i1::g.18181::m.18181","ETE70153.1_1","Opha Mitochondrial glutamate carrier 2  ","Ophiophagus hannah","Mitochondrial glutamate carrier 2  ","TBD",0,0.74,2.78,"Trinity","Merger"
"TRINITY_DN29712_c0_g1::TRINITY_DN29712_c0_g1_i1::g.18191::m.18191","ETE60774.1_1","Opha Coiled-coil domain-containing protein 89  ","Ophiophagus hannah","Coiled-coil domain-containing protein 89  ","TBD",1.1e-112,3.56,13.25,"Trinity","Merger"
"TRINITY_DN29717_c0_g1::TRINITY_DN29717_c0_g1_i1::g.18182::m.18182",NA,NA,NA,NA,NA,NA,2.91,10.84,"Trinity","Merger"
"TRINITY_DN29718_c0_g1::TRINITY_DN29718_c0_g1_i1::g.18186::m.18186",NA,NA,NA,NA,NA,NA,1.89,7.06,"Trinity","Merger"
"TRINITY_DN2971_c0_g1::TRINITY_DN2971_c0_g1_i3::g.1692::m.1692","gi|752777517|gb|GBSH01002635.1|","TSA: Boiga irregularis Birre_Stromal2-1 transcribed RNA sequence","Boiga irregularis","Stromal2-1 transcribed RNA sequence","TBD",0,14.14,52.7,"Trinity","Merger"
"TRINITY_DN29721_c0_g1::TRINITY_DN29721_c0_g1_i1::g.18201::m.18201","ETE58531.1_1","Opha Acyl-coenzyme A thioesterase 8  ","Ophiophagus hannah","Acyl-coenzyme A thioesterase 8  ","TBD",0,1.9,7.09,"Trinity","Merger"
"TRINITY_DN29727_c0_g1::TRINITY_DN29727_c0_g1_i1::g.18188::m.18188","ETE72520.1_1","Opha Exonuclease 3'-5' domain-containing protein 2  ","Ophiophagus hannah","Exonuclease 3'-5' domain-containing protein 2  ","TBD",0,1.93,7.19,"Trinity","Merger"
"TRINITY_DN2972_c1_g1::TRINITY_DN2972_c1_g1_i4::g.1835::m.1835","ETE61626.1_1","Opha RNA exonuclease 1-like protein  ","Ophiophagus hannah","RNA exonuclease 1-like protein  ","TBD",8.2e-95,3.29,12.25,"Trinity","Merger"
"TRINITY_DN29731_c0_g1::TRINITY_DN29731_c0_g1_i1::g.18189::m.18189","ETE69813.1_1","Opha Vacuolar protein sorting-associated protein 13B  ","Ophiophagus hannah","Vacuolar protein sorting-associated protein 13B  ","TBD",2.47e-159,0,0,"Trinity","Merger"
"TRINITY_DN2973_c0_g1::TRINITY_DN2973_c0_g1_i1::g.1653::m.1653","gi|752782697|gb|GBSH01000178.1|","TSA: Boiga irregularis Birre_Actin-10 transcribed RNA sequence","Boiga irregularis","Actin-10 transcribed RNA sequence","TBD",0,3.2,11.93,"Trinity","Merger"
"TRINITY_DN29740_c0_g1::TRINITY_DN29740_c0_g1_i1::g.18199::m.18199","ETE57792.1_1","Opha hypothetical protein  ","Ophiophagus hannah","hypothetical protein  ","TBD",1.02e-13,1.58,5.91,"Trinity","Merger"
"TRINITY_DN2974_c0_g1::TRINITY_DN2974_c0_g1_i1::g.1808::m.1808","gi|752779074|gb|GBSH01001922.1|","TSA: Boiga irregularis Birre_PCYT transcribed RNA sequence","Boiga irregularis","PCYT transcribed RNA sequence","TBD",0,3.88,14.45,"Trinity","Merger"
"TRINITY_DN29755_c0_g1::TRINITY_DN29755_c0_g1_i1::g.18198::m.18198","gi|752779724|gb|GBSH01001599.1|","TSA: Boiga irregularis Birre_mGrpE-1 transcribed RNA sequence","Boiga irregularis","mGrpE-1 transcribed RNA sequence","TBD",0,4.17,15.55,"Trinity","Merger"
"TRINITY_DN2975_c0_g1::TRINITY_DN2975_c0_g1_i2::g.1651::m.1651","gi|752780253|gb|GBSH01001335.1|","TSA: Boiga irregularis HypoPro-MDA-GLEAN10017092 transcribed RNA sequence","Boiga irregularis","HypoPro-MDA-GLEAN10017092 transcribed RNA sequence","TBD",0,2.25,8.39,"Trinity","Merger"
"TRINITY_DN2975_c0_g1::TRINITY_DN2975_c0_g1_i5::g.1649::m.1649","gi|752780253|gb|GBSH01001335.1|","TSA: Boiga irregularis HypoPro-MDA-GLEAN10017092 transcribed RNA sequence","Boiga irregularis","HypoPro-MDA-GLEAN10017092 transcribed RNA sequence","TBD",1.22e-137,5.15,19.19,"Trinity","Merger"
"TRINITY_DN29761_c0_g1::TRINITY_DN29761_c0_g1_i1::g.18187::m.18187","ETE65535.1_1","Opha Histone-lysine N-methyltransferase EZH1 ","Ophiophagus hannah","Histone-lysine N-methyltransferase EZH1 ","TBD",0,1.79,6.66,"Trinity","Merger"
"TRINITY_DN29766_c0_g1::TRINITY_DN29766_c0_g1_i1::g.18184::m.18184","ETE66924.1_1","Opha Ras-related protein Rab-33B  ","Ophiophagus hannah","Ras-related protein Rab-33B  ","TBD",0,4.84,18.06,"Trinity","Merger"
"TRINITY_DN2976_c0_g1::TRINITY_DN2976_c0_g1_i2::g.1775::m.1775","ETE57171.1_1","Opha hypothetical protein  ","Ophiophagus hannah","hypothetical protein  ","TBD",1.94e-171,4.74,17.65,"Trinity","Merger"
"TRINITY_DN29775_c0_g1::TRINITY_DN29775_c0_g1_i1::g.18179::m.18179","gi|752781292|gb|GBSH01000838.1|","TSA: Boiga irregularis Birre_DehRedSDR7B transcribed RNA sequence","Boiga irregularis","DehRedSDR7B transcribed RNA sequence","TBD",2.29e-180,1.69,6.31,"Trinity","Merger"
"TRINITY_DN29778_c0_g1::TRINITY_DN29778_c0_g1_i1::g.18194::m.18194","ETE68188.1_1","Opha Peptide deformylase  ","Ophiophagus hannah","Peptide deformylase  ","TBD",1.7e-62,12.4,46.23,"Trinity","Merger"
"TRINITY_DN2977_c0_g1::TRINITY_DN2977_c0_g1_i3::g.1659::m.1659",NA,NA,NA,NA,NA,NA,1.89,7.06,"Trinity","Merger"
"TRINITY_DN29780_c0_g1::TRINITY_DN29780_c0_g1_i1::g.18197::m.18197",NA,NA,NA,NA,NA,NA,0.96,3.59,"Trinity","Merger"
"TRINITY_DN29782_c0_g1::TRINITY_DN29782_c0_g1_i1::g.18192::m.18192","ETE70040.1_1","Opha Centrosomal protein  ","Ophiophagus hannah","Centrosomal protein  ","TBD",0,0.73,2.74,"Trinity","Merger"
"TRINITY_DN2978_c0_g1::TRINITY_DN2978_c0_g1_i1::g.1663::m.1663","gi|752778972|gb|GBSH01001973.1|","TSA: Boiga irregularis PhosphoglycerateKin1 transcribed RNA sequence","Boiga irregularis","PhosphoglycerateKin1 transcribed RNA sequence","TBD",0,20.32,75.76,"Trinity","Merger"
"TRINITY_DN29799_c0_g1::TRINITY_DN29799_c0_g1_i1::g.18190::m.18190","ETE62535.1_1","Opha Gamma-tubulin complex component 2  ","Ophiophagus hannah","Gamma-tubulin complex component 2  ","TBD",2.41e-149,0.73,2.73,"Trinity","Merger"
"TRINITY_DN2979_c0_g1::TRINITY_DN2979_c0_g1_i1::g.1846::m.1846",NA,NA,NA,NA,NA,NA,9.01,33.58,"Trinity","Merger"
"TRINITY_DN29800_c0_g1::TRINITY_DN29800_c0_g1_i1::g.18185::m.18185","gi|752782411|gb|GBSH01000321.1|","TSA: Boiga irregularis Birre_AP3b1 transcribed RNA sequence","Boiga irregularis","AP3b1 transcribed RNA sequence","TBD",0,0.84,3.14,"Trinity","Merger"
"TRINITY_DN29805_c0_g1::TRINITY_DN29805_c0_g1_i1::g.8192::m.8192","ETE60818.1_1","Opha Kv channel-interacting protein 2  ","Ophiophagus hannah","Kv channel-interacting protein 2  ","TBD",6.34e-33,2,7.47,"Trinity","Merger"
"TRINITY_DN2980_c0_g1::TRINITY_DN2980_c0_g1_i1::g.1721::m.1721","gi|537445188|gb|GAEP01001887.1|","TSA: Micrurus fulvius Mfulv_Vezatin mRNA sequence","Micrurus fulvius","Vezatin mRNA sequence","TBD",0,0.67,2.49,"Trinity","Merger"
"TRINITY_DN2980_c0_g1::TRINITY_DN2980_c0_g1_i3::g.1724::m.1724","gi|537445188|gb|GAEP01001887.1|","TSA: Micrurus fulvius Mfulv_Vezatin mRNA sequence","Micrurus fulvius","Vezatin mRNA sequence","TBD",0,2.88,10.75,"Trinity","Merger"
"TRINITY_DN29811_c0_g1::TRINITY_DN29811_c0_g1_i1::g.8182::m.8182",NA,NA,NA,NA,NA,NA,0,0,"Trinity","Merger"
"TRINITY_DN29818_c0_g1::TRINITY_DN29818_c0_g1_i1::g.8174::m.8174","ETE62159.1_1","Opha Coiled-coil and C2 domain-containing protein 2A  ","Ophiophagus hannah","Coiled-coil and C2 domain-containing protein 2A  ","TBD",5.08e-118,2.67,9.94,"Trinity","Merger"
"TRINITY_DN2981_c0_g1::TRINITY_DN2981_c0_g1_i1::g.1691::m.1691","ETE65390.1_1","Opha Dedicator of cytokinesis protein 9  ","Ophiophagus hannah","Dedicator of cytokinesis protein 9  ","TBD",0,1.04,3.86,"Trinity","Merger"
